Serial_Reading,_18b20_Temp_C ,_18b20_Temp_Fh, Current_humidity,Object_Temperature,NW_cooling,Critical_Level
113,-11.25,11.75,0.47,-11.25,0,0.148395114
114,-11.25,11.75,0.47,-11.25,0,0.409617718
115,-11.25,11.75,0.48,-11.25,0,0.150195939
116,-11.25,11.75,0.48,-11.25,0,0.081650898
117,-11.25,11.75,0.48,-11.25,0,0.159070788
118,-11.25,11.75,0.48,-11.25,0,0.691700393
119,-11.25,11.75,0.48,-11.25,0,0.630689322
120,-11.25,11.75,0.48,-11.25,0,0.671316485
121,-11.25,11.75,0.48,-11.25,0,0.864626867
122,-11.25,11.75,0.48,-11.25,0,0.876150049
123,-11.25,11.75,0.48,-11.25,0,0.527955527
124,-11.25,11.75,0.48,-11.25,0,0.929236818
125,-11.25,11.75,0.49,-11.25,0,0.116864625
126,-11.25,11.75,0.49,-11.25,0,0.997688806
127,-11.25,11.75,0.49,-11.25,0,0.117312702
128,-11.25,11.75,0.49,-11.25,0,0.226217303
129,-11.25,11.75,0.49,-11.25,0,0.317828943
130,-11.25,11.75,0.49,-11.25,0,0.925168343
131,-11.25,11.75,0.49,-11.25,0,0.008185151
132,-11.25,11.75,0.49,-11.25,0,0.217446041
133,-11.25,11.75,0.49,-11.25,0,0.511284044
134,-11.25,11.75,0.49,-11.25,0,0.940453962
135,-11.25,11.75,0.5,-11.25,0,0.96217835
136,-11.25,11.75,0.5,-11.25,0,0.390287021
137,-11.25,11.75,0.5,-11.25,0,0.839350935
138,-11.25,11.75,0.5,-11.25,0,0.146411685
139,-11.25,11.75,0.5,-11.25,0,0.090469681
140,-11.25,11.75,0.5,-11.25,0,0.955398979
141,-11.25,11.75,0.5,-11.25,0,0.401807916
142,-11.25,11.75,0.5,-11.25,0,0.01629663
143,-11.25,11.75,0.5,-11.25,0,0.254329749
144,-11.25,11.75,0.5,-11.25,0,0.313072524
145,-11.25,11.75,0.5,-11.25,0,0.88558142
146,-11.25,11.75,0.5,-11.25,0,0.092730503
147,-11.25,11.75,0.5,-11.25,0,0.019315826
148,-11.25,11.75,0.5,-11.25,0,0.770582036
149,-11.25,11.75,0.51,-11.25,0,0.955440374
150,-11.25,11.75,0.51,-11.25,0,0.615500728
151,-11.25,11.75,0.51,-11.25,0,0.094546595
152,-11.25,11.75,0.51,-11.25,0,0.202454202
153,-11.25,11.75,0.51,-11.25,0,0.72428493
154,-11.25,11.75,0.51,-11.25,0,0.01326284
155,-11.25,11.75,0.51,-11.25,0,0.52896791
156,-11.25,11.75,0.51,-11.25,0,0.566785553
157,-11.25,11.75,0.51,-11.25,0,0.791592646
158,-11.25,11.75,0.51,-11.25,0,0.762686651
159,-11.25,11.75,0.51,-11.25,0,0.874745803
160,-11.25,11.75,0.51,-11.25,0,0.01920508
161,-11.25,11.75,0.51,-11.25,0,0.158037694
162,-11.25,11.75,0.51,-11.25,0,0.813613619
163,-11.25,11.75,0.51,-11.25,0,0.434004193
164,-11.25,11.75,0.51,-11.25,0,0.928733213
165,-11.25,11.75,0.51,-11.25,0,0.887737073
166,-11.25,11.75,0.51,-11.25,0,0.8743652
167,-11.25,11.75,0.51,-11.25,0,0.358225046
168,-11.25,11.75,0.51,-11.25,0,0.399165083
169,-11.25,11.75,0.51,-11.25,0,0.707986134
170,-11.25,11.75,0.51,-11.25,0,0.750405619
171,-11.25,11.75,0.51,-11.25,0,0.921552252
172,-11.25,11.75,0.51,-11.25,0,0.907830157
